format=1 tracks=2 division=480

BA    1   CR         0   TR  0   CH 16   Tempo 150
BA    1   CR         0   TR  0   CH 16   Time signature 6/8, clocks/mtick 12, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key Eb major
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  1   CH 16   Meta Event   type &20   0
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   Instrument 20

BA    2   CR   1+31/80   TR  1   CH  1   NT  Eb-         1+1/2   von=100   voff=80
BA    2   CR   1+31/80   TR  1   CH  1   NT  G-       1+89/160   voff=80
BA    2   CR  1+71/160   TR  1   CH  1   NT  Eb          1+1/6   voff=80
BA    2   CR   2+51/80   TR  1   CH  1   NT  Eb        173/480   voff=80

BA    3   CR         0   TR  1   CH  1   NT  C           2+5/6   voff=80
BA    3   CR    13/480   TR  1   CH  1   NT  Ab-         2+5/6   voff=80
BA    3   CR    13/480   TR  1   CH  1   NT  Eb-         2+5/6   voff=80
BA    3   CR    13/240   TR  1   CH  1   NT  Ab          2+5/6   voff=80

BA    4   CR    13/480   TR  1   CH  1   NT  Eb          1+1/2   voff=80
BA    4   CR    13/240   TR  1   CH  1   NT  Bb-        1+5/12   voff=80
BA    4   CR    13/240   TR  1   CH  1   NT  G-         1+5/12   voff=80
BA    4   CR    53/480   TR  1   CH  1   NT  Bb           9/20   voff=80
BA    4   CR   293/480   TR  1   CH  1   NT  Ab           9/20   voff=80
BA    4   CR    1+1/12   TR  1   CH  1   NT  Bb           9/20   voff=80
BA    4   CR 1+293/480   TR  1   CH  1   NT  C'        413/480   voff=80
BA    4   CR   1+51/80   TR  1   CH  1   NT  Bb-         1+1/4   voff=80
BA    4   CR 1+111/160   TR  1   CH  1   NT  E           1+1/4   voff=80
BA    4   CR 1+173/240   TR  1   CH  1   NT  C        1+67/480   voff=80
BA    4   CR     2+1/2   TR  1   CH  1   NT  Bb           9/20   voff=80

BA    5   CR    13/480   TR  1   CH  1   NT  Ab-         2+5/6   voff=80
BA    5   CR      1/12   TR  1   CH  1   NT  Ab          2+3/4   voff=80
BA    5   CR      1/12   TR  1   CH  1   NT  C       2+111/160   voff=80
BA    5   CR      1/12   TR  1   CH  1   NT  Eb-     2+111/160   voff=80

BA    6   CR    13/240   TR  1   CH  1   NT  Eb      1+187/480   voff=80
BA    6   CR      1/12   TR  1   CH  1   NT  G           11/12   voff=80
BA    6   CR      1/12   TR  1   CH  1   NT  Bb-        1+5/12   voff=80
BA    6   CR      1/12   TR  1   CH  1   NT  G-         1+5/12   voff=80
BA    6   CR         1   TR  1   CH  1   NT  Ab           9/20   voff=80
BA    6   CR 1+253/480   TR  1   CH  1   NT  Bb              4   voff=80
BA    6   CR 1+133/240   TR  1   CH  1   NT  F           3+1/3   voff=80
BA    6   CR    1+7/12   TR  1   CH  1   NT  D          3+5/12   voff=80
BA    6   CR   1+51/80   TR  1   CH  1   NT  Bb-        3+5/12   voff=80

BA    8   CR    13/480   TR  1   CH  1   NT  Eb-     1+253/480   voff=80
BA    8   CR    13/480   TR  1   CH  1   NT  Ab-         1+1/2   voff=80
BA    8   CR    13/240   TR  1   CH  1   NT  Ab        467/480   voff=80
BA    8   CR      1/12   TR  1   CH  1   NT  C       4+151/160   voff=80
BA    8   CR  1+13/480   TR  1   CH  1   NT  G            9/20   voff=80
BA    8   CR 1+253/480   TR  1   CH  1   NT  F           3+1/2   voff=80
BA    8   CR    1+7/12   TR  1   CH  1   NT  A-          3+1/3   voff=80
BA    8   CR   1+51/80   TR  1   CH  1   NT  F-      3+187/480   voff=80

BA   10   CR         0   TR  1   CH  1   NT  Eb        427/480   voff=80
BA   10   CR    13/480   TR  1   CH  1   NT  Eb-          9/10   voff=80
BA   10   CR   151/160   TR  1   CH  1   NT  Eb            1/2   voff=80
